Load Date,Total Load [MW] - Norway,Total Load [MW] - Sweden,Total Load [MW] - Finland,Temp - Norway,Temp - Sweden,Temp - Finland,WindSpeed - Norway,WindSpeed - Sweden,WindSpeed - Finland,Day of Week,Month,Year,Holiday_Norway,Holiday_Sweden,Holiday_Finland
1/1/2010,457617,472863,274243,-11.02,-7.91,-14.40,2.63,2.73,6.73,Friday,January,2010,1,1,1
1/2/2010,469580,487585,291092,-13.64,-9.32,-17.59,2.41,2.54,5.41,Saturday,January,2010,0,0,0
1/3/2010,468754,500255,286191,-12.54,-10.57,-14.68,2.01,2.73,4.44,Sunday,January,2010,0,0,0
1/4/2010,490222,525910,293990,-12.14,-7.44,-9.45,2.23,2.9,5.33,Monday,January,2010,0,0,0
1/5/2010,513643,560086,305419,-15.49,-12.37,-12.88,2.03,2.43,4.51,Tuesday,January,2010,0,0,0
1/6/2010,535809,551334,303093,-18.80,-12.89,-17.71,2.33,2.51,2.84,Wednesday,January,2010,0,1,1
1/7/2010,532426,572118,320501,-18.44,-9.98,-15.78,2.41,3.54,6.81,Thursday,January,2010,0,0,0
1/8/2010,534842,577043,321334,-18.97,-13.95,-17.65,2.45,2.79,4.81,Friday,January,2010,0,0,0
1/9/2010,519060,549194,309894,-16.23,-11.97,-15.30,2.53,2.5,2.67,Saturday,January,2010,0,0,0
1/10/2010,497315,520101,289806,-12.60,-7.32,-10.72,2.57,2.08,1.62,Sunday,January,2010,0,0,0
1/11/2010,519035,549179,295572,-9.51,-7.54,-6.13,2.47,1.68,3.19,Monday,January,2010,0,0,0
1/12/2010,501649,552207,288217,-7.76,-5.95,-4.06,1.97,1.37,3.43,Tuesday,January,2010,0,0,0
1/13/2010,498366,552910,286954,-7.77,-5.69,-5.36,1.59,1.06,1.46,Wednesday,January,2010,0,0,0
1/14/2010,497604,538786,291464,-7.28,-4.98,-5.93,1.43,0.94,2.86,Thursday,January,2010,0,0,0
1/15/2010,491932,518336,287031,-7.48,-4.13,-5.97,1.28,1.1,2.6,Friday,January,2010,0,0,0
1/16/2010,455305,467392,266092,-5.29,-3.04,-5.78,1.79,2.53,3.78,Saturday,January,2010,0,0,0
1/17/2010,445142,461959,260658,-4.29,-2.72,-7.49,1.88,3.09,5.56,Sunday,January,2010,0,0,0
1/18/2010,469220,505460,286901,-4.93,-2.34,-8.71,1.45,2.53,5.25,Monday,January,2010,0,0,0
1/19/2010,466728,505221,296226,-4.56,-2.15,-11.59,1.98,1.81,4.54,Tuesday,January,2010,0,0,0
1/20/2010,470335,509665,305843,-5.24,-3.05,-13.76,1.95,2.38,4.62,Wednesday,January,2010,0,0,0
1/21/2010,470352,511149,317866,-4.83,-3.02,-15.94,1.59,2.34,4.72,Thursday,January,2010,0,0,0
1/22/2010,468545,504029,326047,-5.54,-3.95,-16.56,1.48,2.22,4.21,Friday,January,2010,0,0,0
1/23/2010,445952,468691,308308,-5.97,-5.23,-16.44,1.45,2.46,3.56,Saturday,January,2010,0,0,0
1/24/2010,440375,476678,298476,-6.77,-6.32,-14.09,0.75,2.47,2.18,Sunday,January,2010,0,0,0
1/25/2010,474884,537054,305506,-7.98,-8.64,-10.75,1.76,2.09,3.32,Monday,January,2010,0,0,0
1/26/2010,480343,545732,314040,-7.04,-10.03,-15.35,1.64,1.21,3.67,Tuesday,January,2010,0,0,0
1/27/2010,457642,526041,327353,-1.97,-4.24,-17.70,2.32,3.46,5.73,Wednesday,January,2010,0,0,0
1/28/2010,456638,511718,330234,-4.93,-5.15,-19.00,2.33,2.86,8.34,Thursday,January,2010,0,0,0
1/29/2010,472612,541094,321906,-9.75,-10.60,-14.58,1.28,2.56,6.64,Friday,January,2010,0,0,0
1/30/2010,465279,536224,296637,-11.69,-13.84,-10.72,1.13,2.03,5.19,Saturday,January,2010,0,0,0
1/31/2010,464594,531292,275584,-13.05,-11.93,-6.26,1.51,2.58,6.41,Sunday,January,2010,0,0,0
2/1/2010,511167,545219,296608,-14.02,-5.64,-7.54,2.18,2.67,4.86,Monday,February,2010,0,0,0
2/2/2010,506766,531654,294137,-12.19,-5.55,-6.59,2.24,2.12,3.86,Tuesday,February,2010,0,0,0
2/3/2010,494450,517177,294022,-9.00,-2.80,-6.98,2.79,4.54,4.56,Wednesday,February,2010,0,0,0
2/4/2010,478565,507337,295155,-7.56,-3.56,-5.95,1.36,2.7,4.73,Thursday,February,2010,0,0,0
2/5/2010,463946,501313,290411,-5.36,-3.80,-4.65,1.26,2.1,3.84,Friday,February,2010,0,0,0
2/6/2010,432828,457711,270513,-3.59,-3.59,-5.63,1.53,2.12,3.73,Saturday,February,2010,0,0,0
2/7/2010,431295,463705,256408,-5.86,-6.02,-5.77,1.94,1.88,5.01,Sunday,February,2010,0,0,0
2/8/2010,473049,521880,281456,-8.62,-7.64,-4.76,1.8,1.83,5.86,Monday,February,2010,0,0,0
2/9/2010,480395,518904,288525,-9.72,-6.31,-8.21,2.24,1.6,3.94,Tuesday,February,2010,0,0,0
2/10/2010,492331,524159,302125,-9.77,-6.06,-11.69,1.89,1.49,1.98,Wednesday,February,2010,0,0,0
2/11/2010,483689,534148,303941,-8.14,-8.57,-11.29,1.19,2.11,2.34,Thursday,February,2010,0,0,0
2/12/2010,472763,524487,300779,-7.56,-7.13,-9.85,2.14,3.16,4.43,Friday,February,2010,0,0,0
2/13/2010,444187,483989,286839,-7.44,-6.08,-10.41,2.23,2.21,3.69,Saturday,February,2010,0,0,0
2/14/2010,429234,466864,279632,-5.28,-6.15,-10.58,1.47,1.59,1.38,Sunday,February,2010,0,0,0
2/15/2010,456898,517398,296185,-5.33,-6.50,-9.02,0.98,1.58,1.71,Monday,February,2010,0,0,0
2/16/2010,457949,514935,298249,-5.79,-5.23,-9.00,1.15,0.97,1.43,Tuesday,February,2010,0,0,0
2/17/2010,462745,511012,304425,-6.20,-4.77,-11.88,1.43,1.54,3.45,Wednesday,February,2010,0,0,0
2/18/2010,470900,522790,308470,-8.07,-5.00,-15.97,1.88,2.25,3.62,Thursday,February,2010,0,0,0
2/19/2010,479443,520519,320111,-10.05,-6.13,-18.77,2.63,3.54,8.6,Friday,February,2010,0,0,0
2/20/2010,470757,499540,308434,-12.30,-7.52,-21.73,3.38,4.73,11.49,Saturday,February,2010,0,0,0
2/21/2010,469403,511817,299680,-13.79,-12.08,-18.78,2.17,3.38,7.12,Sunday,February,2010,0,0,0
2/22/2010,494526,556197,302426,-12.56,-13.03,-14.73,1.2,1.89,4.4,Monday,February,2010,0,0,0
2/23/2010,489143,537752,309728,-11.76,-8.51,-14.36,1.39,3.3,4.96,Tuesday,February,2010,0,0,0
