Country,Forecast Year,Month,Model,RMSE (log),MAE (log)
Norway,2025,January,SARIMAX Full,0.01852741045282697,0.014415186313594024
Norway,2025,January,SARIMAX Restricted,0.01611100716573774,0.012419391253720205
Norway,2025,January,XGBoost Full,0.0212805055582677,0.0172862285514939
Norway,2025,January,XGBoost Restricted,0.022045606404399037,0.018727061069187603
Norway,2025,January,XGBoost No Weather,0.0297489057496349,0.023415312442637632
Norway,2025,January,Seasonal Naïve,0.1191857818335107,0.09766442974186001
Norway,2025,February,SARIMAX Full,0.01891948473837413,0.014993130771030039
Norway,2025,February,SARIMAX Restricted,0.017394350586152584,0.013700496946969716
Norway,2025,February,XGBoost Full,0.025710855708134913,0.021940505215652845
Norway,2025,February,XGBoost Restricted,0.02519710685832652,0.021387187879273233
Norway,2025,February,XGBoost No Weather,0.031429875441952485,0.026277543636796352
Norway,2025,February,Seasonal Naïve,0.07593285558661374,0.058659000103805745
Norway,2025,March,SARIMAX Full,0.019365902612811667,0.014563624886634733
Norway,2025,March,SARIMAX Restricted,0.019763893014131437,0.015093404843794175
Norway,2025,March,XGBoost Full,0.023476566931467612,0.019752271878789453
Norway,2025,March,XGBoost Restricted,0.0238680576686782,0.019808493079142203
Norway,2025,March,XGBoost No Weather,0.02122291426255319,0.01815967502705454
Norway,2025,March,Seasonal Naïve,0.06598247546219435,0.056473914881789516
Norway,2025,April,SARIMAX Full,0.028158593226147915,0.0240362474995095
Norway,2025,April,SARIMAX Restricted,0.028782927635194876,0.02449434668322906
Norway,2025,April,XGBoost Full,0.03427150520043393,0.029240829102047585
Norway,2025,April,XGBoost Restricted,0.036202308739486384,0.030472995768714206
Norway,2025,April,XGBoost No Weather,0.02878797021561524,0.02473005853272916
Norway,2025,April,Seasonal Naïve,0.07363960471839888,0.059045597208116855
Norway,2025,May,SARIMAX Full,0.03771833949074959,0.03380432624050598
Norway,2025,May,SARIMAX Restricted,0.03764916929540587,0.033907916823037204
Norway,2025,May,XGBoost Full,0.025106300786540227,0.021265346220388146
Norway,2025,May,XGBoost Restricted,0.02508552646366958,0.0214394752526462
Norway,2025,May,XGBoost No Weather,0.025449117349008038,0.020613768335250814
Norway,2025,May,Seasonal Naïve,0.05921342564721799,0.04679975839884134
Norway,2025,June,SARIMAX Full,0.026746234417877747,0.022034218123076776
Norway,2025,June,SARIMAX Restricted,0.02883165555228355,0.023584067880557016
Norway,2025,June,XGBoost Full,0.018365864007225015,0.014253252664928103
Norway,2025,June,XGBoost Restricted,0.019578302194203406,0.015833069995264754
Norway,2025,June,XGBoost No Weather,0.02223975167019695,0.018162288668630684
Norway,2025,June,Seasonal Naïve,0.03288755838279474,0.025803095042573786
Norway,2025,July,SARIMAX Full,0.023269962619290388,0.020092129394670748
Norway,2025,July,SARIMAX Restricted,0.01714076619525229,0.01276233125932298
Norway,2025,July,XGBoost Full,0.013387519237138497,0.010620623540971038
Norway,2025,July,XGBoost Restricted,0.01326285783550644,0.010897635676206031
Norway,2025,July,XGBoost No Weather,0.01237021030475956,0.009896937490601942
Norway,2025,July,Seasonal Naïve,0.02445092502022602,0.019697404058099378
Norway,2025,August,SARIMAX Full,0.016519123559985725,0.012915750548948435
Norway,2025,August,SARIMAX Restricted,0.01667856111521759,0.013726802686603706
Norway,2025,August,XGBoost Full,0.018605388933924327,0.01608615880589569
Norway,2025,August,XGBoost Restricted,0.017355560999505446,0.014551963712464621
Norway,2025,August,XGBoost No Weather,0.01374780374274477,0.011349817631249039
Norway,2025,August,Seasonal Naïve,0.03981188244734033,0.03144833365412053
Norway,2025,September,SARIMAX Full,0.015017793476938402,0.012668930084751355
Norway,2025,September,SARIMAX Restricted,0.016276135277106106,0.013206153568197543
Norway,2025,September,XGBoost Full,0.019801312314782188,0.01675783728276432
Norway,2025,September,XGBoost Restricted,0.01782967167535602,0.014927714908394663
Norway,2025,September,XGBoost No Weather,0.016016177975805262,0.013800951957593573
Norway,2025,September,Seasonal Naïve,0.04334631309746953,0.036091041228839355
Norway,2025,October,SARIMAX Full,0.017943923518106284,0.013671495486668558
Norway,2025,October,SARIMAX Restricted,0.016906184453365693,0.013263404040268843
Norway,2025,October,XGBoost Full,0.036059712685445,0.029396012334553478
Norway,2025,October,XGBoost Restricted,0.03626286325538716,0.030321302657134015
Norway,2025,October,XGBoost No Weather,0.02840334862037202,0.022630367219975144
Norway,2025,October,Seasonal Naïve,0.05024479953147408,0.03981293046781551
Norway,2025,November,SARIMAX Full,0.018074749839208964,0.014774394983952336
Norway,2025,November,SARIMAX Restricted,0.01918800722806226,0.016540730145134633
Norway,2025,November,XGBoost Full,0.029885241989900748,0.025051736945463372
Norway,2025,November,XGBoost Restricted,0.02990238623784041,0.025226353612130124
Norway,2025,November,XGBoost No Weather,0.03392976236667591,0.02789042229793169
Norway,2025,November,Seasonal Naïve,0.09988245242155296,0.08377700683090943
Norway,2025,December,SARIMAX Full,0.022074739131210823,0.018549501264759283
Norway,2025,December,SARIMAX Restricted,0.019621156772632344,0.015686006775653946
Norway,2025,December,XGBoost Full,0.03292574174110063,0.028155009881858643
Norway,2025,December,XGBoost Restricted,0.03320383616986619,0.0284297518173425
Norway,2025,December,XGBoost No Weather,0.021692128777289498,0.016161648364172356
Norway,2025,December,Seasonal Naïve,0.05241352383181326,0.0374877590547968
