Feature,MeanAbsSHAP_Full,MeanAbsSHAP_Restricted,MeanAbsSHAP_NoWeather,PrettyFeature,TotalImportance
lag1_log_no,0.10193077,0.103733055,0.12999724,Lag 1,0.33566105
HDD_Norway,0.048117112,0.04508013,0.0,HDD,0.09319724
day_Saturday,0.010121394,0.010142677,0.010380975,Saturday,0.030645046
day_Monday,0.008957763,0.009214858,0.012470209,Monday,0.03064283
lag7_log_no,0.00963879,0.007221099,0.009306015,Lag 7,0.026165904
day_Sunday,0.004609176,0.0051406804,0.002729395,Sunday,0.012479251
lag2_log_no,0.0016897062,0.0049727154,0.0050678165,Lag 2,0.011730239
lag3_log_no,0.0011879029,0.0008643058,0.009489252,Lag 3,0.011541461
lag6_log_no,0.0021626635,0.002250996,0.005284325,Lag 6,0.009697985
Holiday_Norway,0.0025826406,0.0025939157,0.002169402,Holiday,0.0073459586
lag4_log_no,0.0015697716,0.0012941147,0.0018560018,Lag 4,0.004719888
month_April,0.0017551319,0.0017857556,0.0009871217,April,0.0045280093
month_March,0.0014926489,0.0014802082,0.0010266452,March,0.0039995024
lag5_log_no,0.00097395474,0.000991229,0.0019558677,Lag 5,0.0039210515
month_May,0.0010940713,0.0012703936,0.00081869174,May,0.0031831567
day_Thursday,0.0010559609,0.0011082668,0.0009749653,Thursday,0.003139193
day_Tuesday,0.00088904396,0.0009105566,0.00060513226,Tuesday,0.0024047329
month_October,0.00094860326,0.00076105585,0.0005300691,October,0.0022397283
month_September,0.00090945937,0.0008034886,0.00034145007,September,0.002054398
month_November,0.0006849057,0.000629144,0.00044303364,November,0.0017570833
month_August,0.00077137345,0.0007911349,0.000111394016,August,0.0016739023
month_July,0.0003418998,0.0003636513,0.0007933267,July,0.0014988778
month_February,0.00045271206,0.0004681433,0.0005082424,February,0.0014290977
HDD_Extreme_NO,0.0005480813,0.00063476077,0.0,HDD × Extreme Cold,0.0011828421
month_June,0.00019601009,0.00028828473,0.00065386685,June,0.0011381616
month_December,0.0001957809,0.0001836823,0.00031133014,December,0.0006907933
day_Wednesday,0.0002094603,0.0001975558,0.0001892947,Wednesday,0.00059631077
Extreme_Cold_NO,0.00013266064,0.00031272182,0.0,Extreme Cold,0.00044538247
CDD_Norway,5.3774042e-06,0.0,0.0,CDD,5.3774042e-06
Extreme_Warm_NO,5.082102e-06,0.0,0.0,Extreme Warm,5.082102e-06
CDD_Extreme_NO,3.572503e-07,0.0,0.0,CDD × Extreme Warm,3.572503e-07
